file_name,Pitch (Hz),Cutoff freq (MIDI),Cutoff freq (CV),Resonance (MIDI),Resonance (CV),Input delay (ms),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Spectral Roll-off (Hz),RMS Energy,Spectral Flatness,MFCCs_1,MFCCs_2,MFCCs_3,MFCCs_4,MFCCs_5,MFCCs_6,MFCCs_7,MFCCs_8,MFCCs_9,MFCCs_10,MFCCs_11,MFCCs_12,MFCCs_13,Spectral Contrast (dB)_1,Spectral Contrast (dB)_2,Spectral Contrast (dB)_3,Spectral Contrast (dB)_4,Spectral Contrast (dB)_5,Spectral Contrast (dB)_6,Spectral Contrast (dB)_7
B4_r127_c063.wav,684.762,63,4.9606,127,10.0,44.00000000000004,755.8770349559627,792.7356474495969,741.943359375,0.5412155,9.928748e-06,-328.63205,170.79121,52.397923,-19.955854,-31.731302,-31.502157,-38.4337,-36.841263,-23.73384,-11.057838,-0.80225104,10.8094,18.113626,12.715316899307297,13.430264797587853,31.86827290425987,26.101615031696564,29.50799192672889,23.571311178461645,16.373851591587314
B4_r127_c079.wav,1489.3628,79,6.2205,127,10.0,44.00000000000004,1563.7158980203042,884.723633101708,1557.0068359375,0.55435985,1.003659e-05,-383.31778,69.5583,-43.34138,-42.10133,-10.587634,6.080486,19.419542,7.1498733,-17.228895,-28.781912,-22.837097,2.1797402,15.189064,23.37620275725318,8.953569442567197,36.20317063067342,48.96046481076439,37.59798845526183,32.37977666587586,23.41962257996362
B4_r127_c095.wav,3245.668,95,7.4803,127,10.0,44.00000000000004,3303.0590851872535,1338.1044596262016,3303.466796875,0.5584802,1.0748615e-05,-305.58264,72.453674,-92.0521,20.754173,26.567924,-18.95282,-31.141386,-1.7614378,12.61958,-18.443851,-35.719883,8.273281,9.703551,12.091730644397176,13.327160730831244,28.71887964500861,26.592336875463857,28.08236788919014,46.85986382247955,35.68769576535441
B4_r127_c111.wav,7034.311,111,8.7402,127,10.0,44.00000000000004,6949.158381098197,2287.088720695789,7101.806640625,0.5420148,1.5194654e-05,-327.80112,-4.406629,-51.325653,54.179607,-41.41633,0.85912055,6.0505867,-24.506659,-8.960892,7.407413,-37.645626,6.0065255,-8.133838,18.08869703185152,14.520458660823826,34.32773190956112,31.725445836932483,29.985403195718188,26.52567454408711,49.309572668448446
B4_r127_c127.wav,10650.268,127,10.0,127,10.0,44.00000000000004,10336.107915743913,3357.5262587921293,10734.619140625,0.51693434,2.6329411e-05,-333.82205,-34.177025,-10.786015,20.379343,-30.536987,19.891603,-24.53074,-4.7110496,2.6562345,-32.9344,17.115465,-39.022293,9.522983,20.260267786008047,15.061877958933778,35.8230738520198,33.068568172788176,31.64656530740749,28.670515390638588,47.02336135350465
B5_r015_c015.wav,5413.8184,15,1.1811,15,1.1811,44.00000000000004,8629.425568645156,7516.851336013866,17943.6328125,0.00083974586,0.08389798,-710.4192,19.316599,15.206616,15.113002,12.171488,14.13549,9.275732,11.638576,8.850705,12.125493,8.845135,9.14822,5.8947277,17.867550005425386,7.848517773360888,9.579191480390971,12.667272724259535,14.173417344731984,13.376583988068393,16.58712619258411
B5_r015_c031.wav,528.15826,31,2.4409,15,1.1811,44.00000000000004,8325.075363222935,7540.9792924052035,17707.6171875,0.0008526809,0.07572692,-703.4267,27.601334,18.620813,14.38221,8.151908,10.524219,8.788538,14.387402,13.6184635,15.964363,10.106638,7.094873,1.4207284,17.144584899253708,8.024768165294713,9.658793913864477,18.69349615645713,14.434614582994314,13.331708444308752,16.568414954632768
B5_r015_c047.wav,928.75757,47,3.7008,15,1.1811,44.00000000000004,6022.027111372444,7195.058731415679,15325.8984375,0.0015187457,0.004674466,-686.8636,44.123726,20.712532,6.18474,-1.7572864,2.9567254,6.511388,18.471535,21.683247,25.546265,14.364269,1.3985534,-11.012416,17.66451776595127,7.83693650165854,9.571808412775155,29.792270478639622,19.14417112903378,13.216183678364539,15.831242547583578
B5_r015_c063.wav,977.0194,63,4.9606,15,1.1811,44.00000000000004,2134.387404323932,3972.2419059954373,1591.4426813471503,0.013953876,6.8997135e-05,-648.09705,68.79823,9.0223055,-13.578916,-16.385635,-10.290542,-3.4638789,20.131845,34.35474,41.17814,22.61955,-4.5247135,-29.503942,17.79406210005802,7.526015874224262,9.623215888622658,40.05039597026595,30.412356451454528,15.767496802074817,14.970834173264818
B5_r015_c079.wav,982.087,79,6.2205,15,1.1811,44.00000000000004,1405.8321109967974,1993.4151241861684,1928.22265625,0.066817395,1.4556618e-05,-588.5111,75.253654,-18.350834,-29.02114,-22.274061,-24.796743,-7.341971,20.312553,42.74176,52.99866,32.59513,-5.710692,-39.751972,18.020831367384517,7.467619697708888,9.978154757961322,44.81079519278787,39.32525249316772,26.565716919275488,16.310448755568697
